epochs,accuracy,precision,recall,f1,training_time
10,0.9926,0.9925734690041622,0.9924643613342174,0.9925124743784819,537.285031080246
15,0.9931,0.9930430511819084,0.9929900573018194,0.9930118062898993,1100.6094439029694
20,0.9916,0.9916298415938476,0.9914391225576763,0.99150537539872,1516.9411482810974
25,0.9928,0.9927557713612318,0.9926781302169445,0.9927138108698234,1852.115315437317
30,0.9912,0.9911688978289087,0.9910956852230836,0.9911004081734133,2257.034080028534
35,0.9928,0.9926920284191695,0.9927103115653834,0.9926981173093367,2614.848137140274
40,0.9931,0.9930683495854098,0.9930518104109369,0.9930562056438698,2914.793241262436
45,0.9938,0.9937824301571616,0.993683000112429,0.993728322058805,3176.6411135196686
50,0.9907,0.9907911903669169,0.9905409117500273,0.9906321492959691,3449.7255051136017
55,0.9939,0.9938469484615327,0.9938494904832519,0.9938434275721176,3790.767076730728
60,0.9943,0.9942654096218325,0.9941935669437132,0.9942263562036663,3997.1977441310883
65,0.9934,0.9933318704658667,0.9932930687180466,0.9933050411708327,4288.1944806575775
70,0.9929,0.9929497423124095,0.9928291055840572,0.992886611651682,4537.022155284882
75,0.9938,0.9937274494614423,0.9937287849457898,0.9937264491536582,4805.294977903366
80,0.9932,0.9931521916890507,0.9931103062240366,0.9931277713893284,5105.303210258484
