epochs,accuracy,precision,recall,f1,training_time
10,0.9786,0.9784718586551315,0.9784486696424473,0.9784562769037741,142.81469702720642
15,0.9779,0.9777888795737326,0.9779194458666705,0.977783087879161,222.9221909046173
20,0.9804,0.9804546666530681,0.9802863396262518,0.9803219560904803,310.7860052585602
25,0.9818,0.9815136193489016,0.981807651018922,0.9816278399413536,406.7558374404907
30,0.9839,0.9836634634263838,0.9838093040055934,0.9837261697228457,493.55530071258545
35,0.9827,0.9826280714833715,0.9825052774242771,0.9825530206837207,596.129985332489
40,0.9828,0.9826875770084808,0.9825941769737506,0.982629318650859,676.8001141548157
45,0.9806,0.9805206698408758,0.9803926101844214,0.9804386553916622,764.2954363822937
50,0.9848,0.984708842242263,0.9846246915020875,0.9846637972817647,840.156142950058
55,0.9799,0.980048301268192,0.9797196739351197,0.9798218115237531,937.0157041549683
60,0.9832,0.9831012253488423,0.9829521211923355,0.9830144562446745,1044.4869332313538
65,0.9839,0.9838497095039231,0.9836929417859045,0.983764162279182,1140.686915397644
70,0.9802,0.9802344265643834,0.9799870461560911,0.9800482547392659,1219.4930753707886
75,0.9807,0.980678297924835,0.9805616733611909,0.980601796902526,1290.1980407238007
80,0.9835,0.9834111024768,0.9833863564041213,0.9833928160910025,1378.0607674121857
